"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000211666",49.9315762676682,6.22064552344743,0.796583844063521,7.80915351197028,5.75733420403939e-15,1.49700667353905e-13,"IGLV2-14"
"ENSG00000163221",7.58190028751818,2.64423925461016,0.477658753976689,5.53583333833175,3.09752007348065e-08,3.00790250242266e-07,"S100A12"
"ENSG00000163220",1322.87127283475,3.60343020049354,0.353729692339198,10.1869599259938,2.26744046639622e-24,1.65539704707263e-22,"S100A9"
"ENSG00000275713",36.6828360086025,-2.47071188059379,0.58549036326999,-4.21990187301249,2.4440867732843e-05,0.00013152307697125,"H2BC9"
"ENSG00000260423",37.9801629303611,-2.58922766340216,0.394960110954611,-6.55566876650922,5.53930626415997e-11,8.27751114354502e-10,"LINC02367"
"ENSG00000260420",4.01959647828138,4.7722706276166,0.874656147640054,5.4561677071531,4.86520445880866e-08,4.55208372282547e-07,"LINC02182"
"ENSG00000225235",7.88532666111504,1.72811857192702,0.441436025908412,3.91476560702267,9.04920735523244e-05,0.000428281570821931,"INTS6L-AS1"
"ENSG00000277010",2.94427154642618,2.91451021833786,0.829024905915899,3.51558825017197,0.000438780904651515,0.00176252474229898,NA
"ENSG00000129538",4357.69066901146,2.52540236387205,0.324128274764194,7.79136706203525,6.62880329648799e-15,1.71026544896319e-13,"RNASE1"
"ENSG00000172156",199.946662652194,9.72271147053266,0.875470004996566,11.1057048385921,1.17685141816828e-28,1.35297332005967e-26,"CCL11"
"ENSG00000086696",829.683157099003,-5.70367278118923,0.64585761260353,-8.83116134250867,1.03594429563589e-18,4.20061412633115e-17,"HSD17B2"
"ENSG00000169306",4.27292328366156,3.68792367423431,1.05129878819316,3.50796910987851,0.000451541476972232,0.00180725004108694,"IL1RAPL1"
"ENSG00000120837",1200.22501131556,1.62473315407839,0.220402379383954,7.37166794033567,1.68506313194245e-13,3.60384920435248e-12,"NFYB"
"ENSG00000255867",6.2076467130447,1.16279557131707,0.452303054863545,2.57083289359581,0.0101454268117338,0.0272658913491164,"DENND5B-AS1"
"ENSG00000243742",25.3286452695277,1.9047561401272,0.511013245269973,3.72741050796227,0.000193457219928882,0.000850406876821862,NA
"ENSG00000163885",45.7965983758503,-3.76665846930278,0.454943703126355,-8.27939466667735,1.23802986813612e-16,3.9310396003484e-15,"CFAP100"
"ENSG00000063587",2191.1326928805,2.0328579053948,0.284391512610935,7.14809625199988,8.79896101472885e-13,1.7088778265887e-11,"ZNF275"
"ENSG00000145526",6.32762738134243,5.81223669057593,1.24951354001468,4.65159960612164,3.29370116457191e-06,2.13734422889587e-05,"CDH18"
"ENSG00000113296",756.428690216178,3.55855260060362,0.476121987990857,7.47403541604964,7.77721949689014e-14,1.74643410714488e-12,"THBS4"
"ENSG00000161958",14.0491803338131,1.09038503777825,0.327746792810312,3.3269129147797,0.000878138119658367,0.00326632111298735,"FGF11"
"ENSG00000159388",5035.13228909494,-1.55589820802368,0.344140403292259,-4.52111461815873,6.15148676275406e-06,3.78706425529746e-05,"BTG2"
"ENSG00000166455",35.7493060580996,-1.68915379683746,0.253979070607254,-6.65075981575475,2.91583781596102e-11,4.57119276414453e-10,"C16orf46"
"ENSG00000215704",12.6192235934282,-1.06852434668771,0.366205702110558,-2.91782552955748,0.00352481512125007,0.0109578949987805,"CELA2B"
"ENSG00000155324",1420.69975567886,-1.009345233913,0.285202210492516,-3.53905123024804,0.000401567912589642,0.00163205293040292,"GRAMD2B"
"ENSG00000184489",791.907659097118,1.08789554927472,0.2544212369074,4.27596203248818,1.90313658529687e-05,0.000105207865806385,"PTP4A3"
"ENSG00000196937",4401.58258020816,-1.46702180205783,0.384344287058636,-3.81694707441825,0.000135113138590702,0.000615859765540424,"FAM3C"
"ENSG00000196932",270.483767510491,-1.08165615345247,0.440910924296805,-2.45323055938695,0.0141579560841281,0.0362261132651444,"TMEM26"
"ENSG00000257642",35.9655737987282,-6.5283946061117,1.11185137573815,-5.87164323269153,4.314965564357e-09,4.81856556472259e-08,"C12orf75-AS1"
"ENSG00000183655",214.940590255535,-1.04097512255086,0.168257766096124,-6.1867879664833,6.1402465663713e-10,7.89392624123981e-09,"KLHL25"
"ENSG00000168852",13.8365355010458,-1.60912478797166,0.455259611307396,-3.53452128852512,0.000408514526397677,0.00165624738266298,NA
"ENSG00000184156",120.842651177332,1.02656313417805,0.414748505236597,2.47514607338351,0.0133181691702458,0.0344148281193934,"KCNQ3"
"ENSG00000156298",110.253179034236,1.35184057422616,0.373843097730058,3.61606401839278,0.000299116431508813,0.00125374598228738,"TSPAN7"
"ENSG00000267374",8.19801162831984,-2.36257003859673,0.72411265732716,-3.26271059439485,0.00110352148472188,0.00399424193854823,"MIR924HG"
"ENSG00000267372",9.10189101013886,2.80259097768644,0.753444204153055,3.71970606746763,0.000199454760219328,0.000873571673498929,NA
