"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1892151",-20.9776155555555,121.850105263158,-2.46939540926706,0.0240074440796988,0.643713090996158,-3.89056001935366,"","Not Significant"
"ILMN_1904085",-11.5945466666666,68.0179736842105,-2.46878066989142,0.0240378567656511,0.643713090996158,-3.89092493258241,"","Not Significant"
"ILMN_1907735",-15.2344199999999,103.684784210526,-2.46864901858426,0.0240443745966447,0.643713090996158,-3.89100308011151,"LINC01349","Not Significant"
"ILMN_1836735",-13.4002688888889,90.5851157894737,-2.46850645398569,0.0240514346021814,0.643713090996158,-3.89108770510408,"","Not Significant"
"ILMN_1676795",6.73834000000002,56.0064947368421,2.4683885984056,0.0240572724546027,0.643713090996158,-3.89115766257911,"REG3G","Not Significant"
"ILMN_1832543",3.46516555555556,48.3130157894737,2.46824431456112,0.0240644212193509,0.643713090996158,-3.89124330692341,"","Not Significant"
"ILMN_1808487",-6.11301444444439,82.3456684210526,-2.46808293392123,0.0240724194401134,0.643713090996158,-3.89133909885345,"PLA2G12B","Not Significant"
"ILMN_1898071",-13.3241555555555,77.3564421052632,-2.46797617530541,0.0240777119020553,0.643713090996158,-3.89140246792719,"","Not Significant"
"ILMN_1671753",67.9846677777779,109.594926315789,2.46775299148682,0.0240887795766056,0.643713090996158,-3.89153494275192,"F2","Not Significant"
"ILMN_1731788",-4.62713666666666,56.6776315789474,-2.46709075814046,0.024121647886475,0.643713090996158,-3.89192801424558,"NRG1","Not Significant"
"ILMN_1656554",7.74817444444447,71.1234421052632,2.46662732134562,0.0241446745235395,0.643713090996158,-3.8922030809912,"OR4M2","Not Significant"
"ILMN_1892363",-9.47610777777777,66.1253526315789,-2.46661688139234,0.0241451934883866,0.643713090996158,-3.89220927740884,"","Not Significant"
"ILMN_1912054",-5.03416999999997,61.9254368421053,-2.46642357545422,0.0241548045267719,0.643713090996158,-3.89232400951748,"","Not Significant"
"ILMN_1755796",5.93046666666669,73.6383315789474,2.46595884064338,0.0241779255578544,0.643713090996158,-3.89259983691371,"BEST2","Not Significant"
