"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P168909",-1.77157958424534,-0.253985239130211,-3.22311173078675,0.00280564596512088,0.0418566433144539,-1.72705120908104,"ZFPM2"
"A_23_P91350",-1.0603592318329,0.248130365341439,-3.22430320674494,0.00264645666646761,0.0404750940106708,-1.7296585394524,"GPCPD1"
"A_23_P321935",-1.32052579627592,0.110664219564024,-3.22079770096338,0.00254686332344406,0.039606963102977,-1.73407544825689,"OSBP2"
"A_23_P77502",-1.73084320508286,-0.0503036849566269,-3.22778650524901,0.00302664073254578,0.0439158272995563,-1.73428276111563,"PKD1"
"A_24_P59596",-1.33839247635602,0.202824887946883,-3.22663983429379,0.00289794915862809,0.0428354169201659,-1.73468693397708,"ATAD2"
"A_32_P152673",1.52448340980312,-0.167070518561042,3.22791243839183,0.00282700997294559,0.0420656421170562,-1.73550027464166,"PABPC1"
"A_32_P204795",1.07052407466704,0.587675391591254,3.22325083472981,0.00275101909139414,0.0414623159687539,-1.73771241854545,"ZNF667-AS1"
"A_24_P186342",-1.50282757592601,-0.0737589459778138,-3.22838330075046,0.00288471894544029,0.0426897869232721,-1.73891051492463,"ZFP14"
"A_23_P42322",-1.81062576249152,-0.19584718242037,-3.21868999141848,0.00273437031463118,0.0413525792217497,-1.73964765670614,"COL11A2"
"A_32_P183022",-1.78064154869315,-0.477235181870488,-3.21958919074591,0.002636241856193,0.0404003531672196,-1.74005280730943,"ENAH"
"A_23_P75529",-1.15794694968483,-0.111555947091408,-3.22416148421124,0.00298330269212545,0.0435201763252191,-1.74169590004312,"PKNOX2"
"A_24_P279938",1.01805049619825,0.63905856607074,3.22052452283234,0.00277119570993563,0.041693299264484,-1.74431352020832,"PAXBP1"
"A_23_P412029",-2.25395068109293,-0.325030865711277,-3.21739145650601,0.00274396153960139,0.0414070308251261,-1.74755654254636,"PUS10"
"A_23_P59153",1.11973220692083,0.410361979498333,3.22422598392963,0.00298280195888501,0.0435201763252191,-1.75313518742113,"LSM2"
"A_23_P320113",1.29121320343565,0.0101427417267537,3.21318650855048,0.00272750369895651,0.0412981530520116,-1.75355064823091,"SRXN1"
"A_23_P202565",1.46049670185881,-0.211559284252513,3.21412012169289,0.0027206073740694,0.0412101909630313,-1.75467334844392,"SHOC2"
"A_23_P17724",-1.65228356174833,-0.0737707773109854,-3.21647381259211,0.00280143430739445,0.041849322431266,-1.7553479397554,"SEPT5"
"A_23_P43455",-1.60668009942422,-0.0531052512734224,-3.2115292598818,0.00278766074644461,0.0417289091679644,-1.75707991909655,"PNPLA7"
"A_23_P48080",1.10016004713081,0.623743773361625,3.22286357059611,0.00299339594203902,0.0436170690801182,-1.75776834189419,"RPL13P5"
"A_23_P150325",-1.89001330081717,-0.361284062339928,-3.21183933170646,0.00278533285373735,0.0417289091679644,-1.76108324123935,"TMEM133"
"A_24_P186204",-2.12626045587521,-0.566733748413657,-3.21141559703514,0.00278851454425893,0.0417289091679644,-1.76211508156074,"ADAT2"
"A_24_P612020",1.00391622862792,-0.193557756872764,3.20860809117247,0.0025962140395824,0.0400785256908498,-1.76401835089419,"SQSTM1"
"A_23_P102192",1.00296327844003,0.316259215943029,3.21022451950516,0.00274949320923536,0.0414623159687539,-1.76423160494431,"MAP4K4"
"A_23_P70660",-1.42367954359917,0.784470102698209,-3.21456159213815,0.00313167283853406,0.0447378462698495,-1.7647130110522,"FAM46A"
"A_24_P23951",1.05530643810746,-0.0528601623654956,3.2084230974109,0.00267529733114297,0.0407681764521522,-1.76539267134798,"BCRP2"
"A_32_P69368",-1.50088154589837,0.166760112442902,-3.21701120991653,0.00297206618958417,0.0434553308689574,-1.76575331703859,"ID2"
"A_32_P35575",1.00616755741569,0.166269948017689,3.20731042938379,0.00287100276786685,0.0425532443084064,-1.76631957065822,"MBD3"
"A_24_P170295",1.40963443520923,0.705929527052349,3.21237473005265,0.00300839846866144,0.0437195501331351,-1.76827581527779,"HSP90AB1"
"A_23_P62959",1.00576982598798,0.0482368128834274,3.20891808946004,0.00291360280294227,0.0429486074010089,-1.76880627046131,"PHLDA3"
"A_23_P3574",1.0717343561137,0.197554403061644,3.2087460431978,0.00285999595853687,0.0424564944291178,-1.76908151107448,"GFOD2"
"A_23_P170608",-1.56634671574356,0.187935972888823,-3.20875803787643,0.00280854830911987,0.0418566433144539,-1.77095812494695,"TSPYL2"
"A_23_P213204",1.01033281318868,0.0458352880073584,3.20930629270247,0.0028557114507653,0.0424094962570763,-1.77144526802872,"WHSC1"
"A_23_P20196",1.94511231487693,0.0416927794029258,3.20242374138494,0.00308781355803584,0.044412505022523,-1.77186539369097,"ARPC1B"
"A_23_P108342",-1.23506814170984,-0.198742305030597,-3.20555233235612,0.0026562154125476,0.0405454500514743,-1.77222909733989,"ZNF571"
"A_23_P15055",1.16206330688608,0.246290786581869,3.21810143418879,0.00310322238363032,0.0444990822439334,-1.77467923696149,"HBM"
"A_24_P940979",-2.31487211650453,-0.443104412792685,-3.20942308997721,0.00290969475584814,0.0429486074010089,-1.7753527975913,"LGALS8"
"A_23_P126225",-1.05056050195807,0.300201520842007,-3.20894501031602,0.00303554690290462,0.0439945433015007,-1.77634083599372,"PAX7"
"A_23_P128436",1.41614389366739,0.139125854483778,3.20636277419602,0.00282672203789969,0.0420656421170562,-1.77678936102406,"PPHLN1"
"A_24_P404953",-1.18050985890013,0.00176463077398576,-3.20295555614276,0.00285276666198033,0.0423989789189816,-1.77792485155869,"RBMXL1"
"A_23_P64650",1.0463479214777,0.133221180934632,3.2031458378672,0.00280272924375529,0.0418521766631501,-1.77815573373454,"TSFM"
"A_23_P381714",-1.4921659748103,-0.0715363925944388,-3.2042718595718,0.00284267795608462,0.0422689719401688,-1.78187776954992,"CA13"
"A_23_P160800",-1.69945837959683,-0.0610825754567757,-3.20848587062469,0.00303919899609648,0.0439970182275684,-1.78304138509948,"NR0B2"
"A_23_P107166",-1.15680177912969,0.00257958277600989,-3.20079028268378,0.00273182787091223,0.0413306152824286,-1.78434676152994,"ACBD4"
"A_32_P109572",1.10352279578287,0.769970240960725,3.19804963861644,0.00305891026651871,0.0441475157384051,-1.78477207965114,"HNRNPL"
"A_24_P679409",1.31007480561417,-0.0617677900862998,3.20744409124532,0.00304750109406318,0.044083539290466,-1.78549341516163,"SRRM1"
"A_24_P671164",-1.33607953154308,0.354194232219827,-3.20499887868693,0.00294410290214751,0.0432121527978384,-1.78595598681034,"PRLR"
"A_24_P918843",1.07645019488174,0.247177610983986,3.20500890957293,0.00313560095358661,0.0447770902276018,-1.78626764425582,"RALGAPA1"
"A_23_P73117",-1.63778602287214,0.444213912219354,-3.21291998082025,0.00314495140757557,0.0448439802212868,-1.78665525506107,"CTNNA3"
